hour,indoor_temp,cooling_setpoint,outdoor_temp,elec_price,solar_generation,dhw_storage_soc,dhw_demand,cooling_device,dhw_storage,electrical_storage,reward
1,23.098651885986328,23.222221,24.66,0.028929999098181725,0.0,0.0,0.055682074,0.0,0.6,0.35,-0.12356948852539062
2,22.234743118286133,22.222221,24.07,0.028929999098181725,0.0,0.0,0.15933841,0.0,0.6,0.35,0.0
3,22.223060607910156,22.222221,23.9,0.028929999098181725,0.0,0.0,0.057004254,0.0,0.6,0.35,0.0
4,22.22224998474121,22.222221,23.87,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,0.0
5,22.22223663330078,22.222221,23.83,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,0.0
6,22.22223663330078,22.222221,23.85,0.028929999098181725,0.0,0.0,0.33483398,0.0,0.0,0.35,0.0
7,22.222230911254883,22.222221,24.98,0.028929999098181725,0.0607952362060547,0.0,0.9058187,0.0,-0.05,0.35,0.0
8,22.332555770874023,22.333334,26.94,0.02914999984204769,0.2191260864257813,0.0,0.0,0.0,0.0,-0.6,-0.0007781982421875
9,22.77179718017578,22.777779,29.3,0.02914999984204769,0.5327400512695314,0.0,3.3150163,0.3,-0.05,-0.5,-0.0059814453125
10,23.266788482666016,23.333334,31.66,0.02914999984204769,0.9639457763671876,0.0,0.21539555,0.3,0.85,-0.35,-0.06654548645019531
11,24.406890869140625,24.444445,33.87,0.02914999984204769,1.355784814453125,0.0,0.0,0.3,0.85,0.9,-0.03755378723144531
12,24.444318771362305,24.444445,35.9,0.02914999984204769,1.6054357910156252,0.0,1.6562988,0.3,0.85,0.9,-0.000125885009765625
13,24.44445037841797,24.444445,37.51,0.02914999984204769,1.6411171875000001,0.0,0.2264962,0.3,0.85,0.9,0.0
14,24.4444522857666,24.444445,38.69,0.02914999984204769,1.6491804199218751,0.0,0.0,0.3,0.85,0.9,0.0
15,24.4444580078125,24.444445,39.3,0.02914999984204769,1.54800966796875,0.0,0.22648923,0.3,0.85,0.9,-1.5237051845506357
16,24.444454193115234,24.444445,39.53,0.05866999924182892,1.3278533203125003,0.0,1.0209699,0.3,0.85,0.7,-3.210566116045811
17,23.58162498474121,23.555555,39.16,0.05866999924182892,1.0113387451171876,0.0,0.4529948,0.3,0.6,0.7,-8.640978979852662
18,25.53244972229004,25.555555,38.12,0.05866999924182892,0.5935589355468751,0.0,0.0,0.3,0.0,-0.65,-1.3417923763663566
19,26.459463119506836,26.5,36.11,0.02914999984204769,0.16157204589843752,0.0,0.0,0.15,0.0,-0.6,-2.0413675485760905
20,24.512662887573242,24.444445,32.61,0.02914999984204769,0.0,0.0,0.45299163,0.15,0.0,-0.6,-9.988962508363329
21,21.815444946289062,21.666666,31.19,0.02914999984204769,0.0,0.0,0.0,0.15,0.0,-0.6,-32.760933272133116
22,24.361370086669922,24.444445,29.6,0.02914999984204769,0.0,0.0,0.4529954,0.15,0.0,0.35,-6.0502911687981396
23,22.88100814819336,22.833334,28.04,0.028929999098181725,0.0,0.0,0.0,0.15,0.6,0.35,-13.154083358273056
24,20.81880760192871,20.722221,26.8,0.028929999098181725,0.0,0.0,0.0,0.15,0.6,0.35,-26.768990884014784
1,20.55874252319336,20.555555,25.85,0.028929999098181725,0.0,0.0,0.0,0.15,0.6,0.35,-21.987732849989698
2,21.59804344177246,21.666666,25.19,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,-29.55116253928645
3,22.219463348388672,22.222221,24.85,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,-27.262194091512356
4,22.222187042236328,22.222221,24.76,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,-29.85626247950131
5,22.222230911254883,22.222221,24.75,0.028929999098181725,0.0,0.0,0.0,0.0,0.6,0.35,-31.40725411567837
6,22.222021102905273,22.222221,24.69,0.028929999098181725,0.0,0.0,0.0,0.0,0.0,0.35,-32.125696778530255
7,22.222225189208984,22.222221,25.41,0.028929999098181725,0.07059253692626954,0.0,0.0,0.0,0.0,0.35,-34.42760459672718
8,22.331993103027344,22.333334,27.01,0.028929999098181725,0.3245435302734376,0.0,0.0,0.0,0.0,-0.5,-37.554304073859385
9,24.259183883666992,24.444445,29.38,0.028929999098181725,0.7166712158203126,0.0,0.0,0.15,0.0,-0.35,-4.342561598299653
